HGNC Approved Gene Symbol,Ion Reporter Gene Symbol
PRPS1,PRPS1
PSAP,PSAP
PTS,PTS
PUS1,PUS1
RAB23,RAB23
RAG1,RAG1
RAG2,RAG2
RAPSN,RAPSN
RARS2,RARS2
RDH12,RDH12
RLBP1,RLBP1
RMRP,RMRP
RNASEH2C,RNASEH2C
RPE65,RPE65
RPGRIP1L,RPGRIP1L
RS1,RS1
RTEL1,RTEL1
SACS,SACS
SAMD9,SAMD9
SAMHD1,SAMHD1
SBDS,SBDS
SEPSECS,SEPSECS
SERPINA1,SERPINA1
SGCA,SGCA
SGCB,SGCB
SGCD,SGCD
SGCG,SGCG
SGSH,SGSH
SKIC3,TTC37
SLC12A3,SLC12A3
SLC12A6,SLC12A6
SLC17A5,SLC17A5
SLC19A2,SLC19A2
SLC22A5,SLC22A5
SLC25A13,SLC25A13
SLC25A15,SLC25A15
SLC25A20,SLC25A20
SLC26A2,SLC26A2
SLC26A3,SLC26A3
SLC26A4,SLC26A4
SLC35A3,SLC35A3
SLC37A4,SLC37A4
SLC39A4,SLC39A4
SLC45A2,SLC45A2
SLC6A8,SLC6A8
SLC7A7,SLC7A7
SMARCAL1,SMARCAL1
SMN1,SMN1
SMPD1,SMPD1
SRD5A2,SRD5A2
ST3GAL5,ST3GAL5
STAR,STAR
SUCLA2,SUCLA2
SUMF1,SUMF1
SURF1,SURF1
TAT,TAT
TCIRG1,TCIRG1
TECPR2,TECPR2
TFR2,TFR2
TGM1,TGM1
TH,TH
TMC1,TMC1
TMEM216,TMEM216
TPO,TPO
TPP1,TPP1
TREX1,TREX1
TRIM32,TRIM32
TRIM37,TRIM37
TRMU,TRMU
TSEN54,TSEN54
TSFM,TSFM
TSHB,TSHB
TSHR,TSHR
TTN,TTN
TTPA,TTPA
TYMP,TYMP
TYR,TYR
TYRP1,TYRP1
UGT1A1,UGT1A1
USH1C,USH1C
USH2A,USH2A
VPS13A,VPS13A
VPS13B,VPS13B
VPS45,VPS45
VPS53,VPS53
VRK1,VRK1
VSX2,VSX2
VWF,VWF
WAS,WAS
WNT10A,WNT10A
WRN,WRN
XPA,XPA
XPC,XPC
ZFYVE26,ZFYVE26
